celltype,set,metric,value
CHO,replication,KL divergence,1.7283461093902588
mESC,replication,KL divergence,1.511704444885254
HAP1,replication,KL divergence,1.3558635711669922
K562,replication,KL divergence,1.2073304653167725
iPSC,replication,Top5 events recall,3.6019418239593506
CHO,replication,Top5 events recall,4.142100811004639
mESC,replication,Top5 events recall,4.098852634429932
HAP1,replication,Top5 events recall,4.133274555206299
K562,replication,Top5 events recall,4.219770431518555
iPSC,replication,Top10 events recall,6.2330098152160645
CHO,replication,Top10 events recall,7.75904655456543
mESC,replication,Top10 events recall,7.591350555419922
HAP1,replication,Top10 events recall,7.661959171295166
K562,replication,Top10 events recall,7.928508281707764
iPSC,replication,R2 of Frameshift ratio,0.9370785467110936
CHO,replication,R2 of Frameshift ratio,0.9730787950395248
mESC,replication,R2 of Frameshift ratio,0.9702304590239365
HAP1,replication,R2 of Frameshift ratio,0.971157862837166
K562,replication,R2 of Frameshift ratio,0.980195
mESC,inDelphi,Unnamed: 0,0.0
K562,inDelphi,Unnamed: 0,0.0
K562,inDecay,Unnamed: 0,0.0
mESC,inDelphi,KL divergence,1.573580581244387
K562,inDelphi,KL divergence,1.3418362259023082
K562,inDecay,KL divergence,1.1842691787869553
mESC,inDelphi,Top5 events recall,2.9664607237422773
K562,inDelphi,Top5 events recall,2.896734333627537
K562,inDecay,Top5 events recall,3.3398058252427183
mESC,inDelphi,Top10 events recall,6.030008826125331
K562,inDelphi,Top10 events recall,5.829655781112092
K562,inDecay,Top10 events recall,6.593998234774934
mESC,inDelphi,R2 of Frameshift ratio,0.7744028951901357
K562,inDelphi,R2 of Frameshift ratio,0.7600648446520214
K562,inDecay,R2 of Frameshift ratio,0.848194873931246
mESC,inDelphi,Coll_I_Top5,3.1270962047661075
K562,inDelphi,Coll_I_Top5,3.031774051191527
K562,inDecay,Coll_I_Top5,3.385701676963813
mESC,inDelphi,Coll_I_Top10,6.170344218887908
K562,inDelphi,Coll_I_Top10,5.98234774933804
K562,inDecay,Coll_I_Top10,6.696381288614298
mESC,inDelphi,KLD_IDL,0.492051899433136
K562,inDelphi,KLD_IDL,0.4547942876815796
K562,inDecay,KLD_IDL,0.1519710123538971
mESC,inDelphi,Top5_IDL,3.5278022947925862
K562,inDelphi,Top5_IDL,3.3689320388349517
K562,inDecay,Top5_IDL,3.6548984995586937
mESC,inDelphi,Top10_IDL,7.834951456310679
K562,inDelphi,Top10_IDL,7.380406001765225
K562,inDecay,Top10_IDL,7.599293909973522
mESC,inDelphi,W1-distance_IDL,0.0969938672375804
K562,inDelphi,W1-distance_IDL,0.2213119409662904
K562,inDecay,W1-distance_IDL,0.0548584322382598
mESC,inDelphi,delratio_r2,0.2373170892780493
K562,inDelphi,delratio_r2,0.2415130730782217
K562,inDecay,delratio_r2,0.8431628902372965
mESC,inDelphi,Kendall_tau_IDL,0.6929718937828044
K562,inDelphi,Kendall_tau_IDL,0.7022077614551214
K562,inDecay,Kendall_tau_IDL,0.7669548229453471
