,KL divergence,Top5 events recall,Top10 events recall,R2 of Frameshift ratio,Coll_I_Top5,Coll_I_Top10,KLD_IDL,Top5_IDL,Top10_IDL,W1-distance_IDL,delratio_r2,Kendall_tau_IDL,End_date,k1,k2,h,target_cell,N_finetune
111,11.374689599362815,0.3991130820399113,1.4035476718403548,0.02272216747132467,0.532150776053215,1.6984478935698448,9.44896237137693,0.8580931263858093,3.614190687361419,0.3097941049849761,0.014195599150280609,0.16768120661239297,Sep17-18:49,0.9,0.9,4,BOB,500
112,11.807339772681175,0.14855875831485588,0.6452328159645233,0.023502074328835804,0.328159645232816,1.0354767184035476,9.858585799450692,0.5232815964523282,2.8869179600886916,0.3136511486125632,0.012398187333358283,0.09167772280921686,Sep17-18:50,0.9,0.9,5,BOB,500
113,11.844066384890656,0.09090909090909091,0.42350332594235035,0.02651546840003528,0.28159645232815966,0.8337028824833703,9.911977988796195,0.44124168514412415,2.6430155210643016,0.3136916283929604,0.003680932202338671,0.02102653616550282,Sep17-18:51,0.9,0.9,6,BOB,500
114,11.844707050503226,0.07982261640798226,0.3902439024390244,0.026485356013170643,0.28159645232815966,0.8004434589800443,9.910098878935464,0.43015521064301554,2.6031042128603104,0.31371638305041766,0.0015421823559077295,0.007942627356918124,Sep17-18:52,0.9,0.9,7,BOB,500
115,11.844837455421752,0.07982261640798226,0.38802660753880264,0.026535167296118888,0.2860310421286031,0.8004434589800443,9.910272364832107,0.43237250554323725,2.611973392461197,0.3137155410731694,0.002316576669500648,0.007978132856268572,Sep17-18:54,0.9,0.9,8,BOB,500
116,11.84423981934059,0.07982261640798226,0.38802660753880264,0.02646292701681407,0.2860310421286031,0.802660753880266,9.909199649696143,0.43237250554323725,2.611973392461197,0.3137270504701305,1.3521434982508063e-05,0.007682881974432539,Sep17-18:55,0.9,0.9,9,BOB,500
117,1.7175533861549626,2.5609756097560976,5.206208425720621,0.5934345566630203,2.662971175166297,5.4611973392461195,1.0069499503711834,3.199556541019956,6.729490022172949,0.15769209327447187,0.6870840119692805,0.6064162656326956,Sep17-18:56,0.9,1.3,1,BOB,500
118,2.1265421986844215,2.5011086474501107,5.0798226164079825,0.140754537869775,2.587583148558758,5.383592017738359,1.3076582011518045,3.155210643015521,6.720620842572062,0.17697625870065453,0.6256270696903723,0.5951390048794816,Sep17-18:57,0.9,1.3,2,BOB,500
119,8.153292646495307,1.3924611973392462,3.669623059866962,0.0191078102875839,1.4678492239467849,3.8625277161862526,6.513783105066192,2.237250554323725,5.787139689578714,0.2731563365574141,0.15436244719981196,0.33959367844446614,Sep17-18:58,0.9,1.3,3,BOB,500
120,11.373263932252407,0.376940133037694,1.3658536585365855,0.022586397370295833,0.5099778270509978,1.6696230598669624,9.449195942825147,0.8647450110864745,3.6075388026607538,0.30999036105100347,0.014804609603797089,0.16808633861518538,Sep17-18:59,0.9,1.3,4,BOB,500
