,Gene,Rep1_frameshift,Pred_frameshift_inDephi,Rep_delratio,Pred_delratio_inDephi,iDp_delratio,Pred_frameshift_inDecay,Pred_delratio_inDecay
900,Oligo70746,0.88140875,0.8682717755614491,0.9547481,0.9489223522086752,0.9551241287494253,0.88304085,0.94284964
901,Oligo15127,0.6845615,0.6745035836046274,0.6450676,0.7791911513280704,0.7847735257241765,0.81019104,0.49630725
902,Oligo35313,0.920053,0.9505242782055122,0.853136,0.9102840350287374,0.9115914513059046,0.93474764,0.926723
903,Oligo35370,0.859509,0.8968758503145211,0.8828577,0.8990715089404241,0.9013093483217414,0.9106745,0.94263667
904,Oligo42978,0.7771498,0.7833296371243562,0.7840129,0.8972288379339406,0.9018160072287597,0.79153365,0.7052778
905,Oligo47118,0.733022,0.7159488974097139,0.7944664,0.8304745073487538,0.8345550939005995,0.8026182,0.7364671
906,Oligo18422,0.886196,0.863159305615361,0.9720759,0.9314671660246476,0.935295312305942,0.8595292,0.9502253
907,Oligo48410,0.7976151,0.9312682233586377,0.9645578,0.9363310247698609,0.9372131956690443,0.86080015,0.9683035
908,Oligo35462,0.9329211,0.9730143549841461,0.79239273,0.8797865120014342,0.8806665074902792,0.9464839,0.91443783
909,Oligo7864,0.31654328,0.21686893079203337,0.7737495,0.8065650263250443,0.8068273141408749,0.29749838,0.8286946
910,Oligo14294,0.90831673,0.8081017691785537,0.92560124,0.9494053736088093,0.956786426446995,0.8058491,0.95758754
911,Oligo38401,0.9370108,0.9420163390891418,0.9062616,0.9093812056686589,0.9104679496254379,0.92050135,0.9154479
912,Oligo13089,0.60477597,0.6987089557248054,0.91910404,0.8033149419511667,0.808405046832857,0.70489424,0.8637896
913,Oligo36600,0.92219806,0.8347048765206014,0.44414216,0.8394094456800043,0.8414016502256096,0.8851285,0.51007366
914,Oligo5387,0.94529855,0.9374057491853416,0.8941454,0.8427437257145735,0.8432031758122998,0.8471732,0.9263915
915,Oligo17440,0.33155376,0.32483938466355267,0.90942574,0.8633569790407257,0.8642147163489621,0.5320503,0.9266272
916,Oligo14526,0.82584596,0.8658753679246354,0.60414237,0.8260946073849438,0.8283325512556005,0.8691656,0.5721975
917,Oligo35124,0.9231367,0.8751830469636457,0.97437894,0.9699296317349256,0.971028143734923,0.8242091,0.9703975
918,Oligo13421,0.880476,0.7618775956409338,0.9042726,0.9447997372114053,0.9488294053843124,0.849328,0.9605312
919,Oligo35667,0.2584781,0.08538894375426434,0.98705816,0.9465762376754582,0.9468104221691841,0.15365742,0.9790981
920,Oligo5843,0.83814,0.7159748689963493,0.898764,0.8919356460141421,0.898834424986589,0.777146,0.8346558
921,Oligo22839,0.7879445,0.79232561953263,0.80355597,0.8965431965710822,0.9000593495568012,0.82154596,0.73911315
922,Oligo18722,0.9362204,0.8078575591726819,0.5145669,0.8663405211569362,0.8708839421649582,0.8898618,0.5825627
923,Oligo23987,0.2686214,0.20534978373555896,0.97966427,0.8831361324138673,0.8834484217327025,0.24481678,0.95665
924,Oligo30179,0.6012801,0.6531701296873184,0.82304096,0.846919880578205,0.8505757073170899,0.62781835,0.84478986
925,Oligo33550,0.7860465,0.7578734800372456,0.9165374,0.8811801279388412,0.884997692616982,0.8007261,0.9033806
926,Oligo33551,0.85163635,0.8108227427694696,0.8076363,0.8953259758647762,0.9009391909368247,0.81449324,0.92632115
927,Oligo35082,0.6147337,0.7524875306964437,0.87979096,0.9184251305823703,0.9266496555405942,0.72728443,0.90553224
928,Oligo39053,0.9152942,0.889686439679084,0.78692806,0.8926630918955121,0.8929096495559767,0.73513496,0.8806558
929,Oligo39371,0.93358904,0.8919148256876962,0.66926837,0.869330974509815,0.8711025376054409,0.8774055,0.70745426
930,Oligo3160,0.95327103,0.8567865383400659,0.7562617,0.8977368542935181,0.9005527204453149,0.907029,0.75058055
931,Oligo81767,0.8025342,0.7276023548590723,0.8767084,0.9130973437265966,0.93335378014556,0.7452336,0.91316366
932,Oligo48708,0.82386994,0.9688285052080559,0.9689912,0.9040369074900074,0.9065924281223623,0.8887921,0.967345
933,Oligo46939,0.9531391,0.9142513876746752,0.6785822,0.8438005713297783,0.8473596132289232,0.9383615,0.6452759
934,Oligo1692,0.97321236,0.8696663479454076,0.30546552,0.8196809426971525,0.8221732063961299,0.9549502,0.5018313
935,Oligo45399,0.57154715,0.668743685013911,0.9516933,0.9297614983546707,0.933901577993188,0.70093703,0.94227713
936,Oligo40969,0.92595357,0.8293161500112214,0.91448516,0.8965543210442897,0.899395783267337,0.8816104,0.87547904
937,Oligo4886,0.8977073,0.9798101341718531,0.87173325,0.9323597564202842,0.9326873650504974,0.94112396,0.88845474
938,Oligo38507,0.41216794,0.5522056445175321,0.9402313,0.941898520229557,0.9486462865514035,0.59660095,0.89382756
939,Oligo26103,0.78484035,0.7553790938144078,0.9596141,0.9028794769704653,0.9076156084316667,0.728072,0.9561066
940,Oligo46852,0.5817373,0.6828494967730292,0.8781196,0.9096802492756345,0.9136059290197038,0.705585,0.83285916
941,Oligo2330,0.9795838,0.9821491025912767,0.9644935,0.9172899484423389,0.9186185903435681,0.9740322,0.98446137
942,Oligo25192,0.9752133,0.8412419471230357,0.4501851,0.8278419788396217,0.8313944539414634,0.9330758,0.37934887
943,Oligo14798,0.4885517,0.5371956348066068,0.9607099,0.9441005737439864,0.9473391765582287,0.6318936,0.9567249
944,Oligo45830,0.9430012,0.8836022857282542,0.8612862,0.9264190651240363,0.9279011714441847,0.86935246,0.9444916
945,Oligo22745,0.9644808,0.8429409743138595,0.7954723,0.8951710811834043,0.8987054825597124,0.928081,0.6625397
946,Oligo73516,0.8153166,0.7783579631618522,0.59369653,0.7927162190683289,0.7982304767775418,0.9121288,0.32908675
947,Oligo88310,0.9322632,0.9031938371986967,0.9537837,0.9496316660291461,0.9518129772838431,0.9229295,0.9574042
948,Oligo46612,0.84984636,0.7593639235113065,0.7749616,0.8447728886522065,0.8469809755300934,0.7671294,0.78109175
949,Oligo5233,0.9670358,0.9489388194775588,0.9101211,0.9492357699979679,0.9501308800102831,0.901844,0.9608209
950,Oligo49543,0.87955755,0.7757006719694847,0.5157722,0.8400785397757582,0.8443525492840585,0.8754758,0.42131573
951,Oligo17061,0.90643275,0.8774153405148628,0.9762834,0.9484569135418525,0.9514098520413472,0.80427337,0.9585224
