,KL divergence,Top5 events recall,Top10 events recall,R2 of Frameshift ratio,Coll_I_Top5,Coll_I_Top10,KLD_IDL,Top5_IDL,Top10_IDL,W1-distance_IDL,delratio_r2,Kendall_tau_IDL,cell,feature
13,0.6176079699649605,3.2983230361871136,6.378640776699029,0.8524936169668628,3.4060017652250663,6.545454545454546,0.21204377242574962,3.6001765225066196,7.499558693733451,0.05563406060819706,0.8307854518009379,0.7623388578349054,HAP1,distal_proximal
14,0.6036588637797788,3.322153574580759,6.720211827007944,0.7938327698981453,3.4404236540158872,6.9867608120035305,0.2012739550036259,3.675198587819947,7.825242718446602,0.058326914437972235,0.7666919127374966,0.7658326632895336,CHO,distal_proximal
15,0.9833777020410006,3.058252427184466,5.715798764342454,0.8448234034097076,3.183583406884378,5.877316857899382,0.40641756510942956,3.4245366284201237,7.0132391879964695,0.07339944489387581,0.778998292930507,0.6709028744918127,iPSC,distal_proximal
16,0.573815303378708,3.268314210061783,6.51279788172992,0.8297418232079536,3.3362753751103265,6.645189761694616,0.21048943039253154,3.624889673433363,7.576345984112974,0.05887777776619146,0.8366626961077791,0.7575962191112658,K562,distal_proximal
17,0.7062824881468741,3.2480141218005296,6.461606354810239,0.8598332172223081,3.3945278022947925,6.6222418358340684,0.2671560893762528,3.615180935569285,7.887025595763459,0.06796846892850034,0.7517481941837937,0.7433285954490454,mESC,indel_ratio
18,0.6096651183452789,3.2806707855251545,6.391879964695499,0.8502656314346284,3.3883495145631066,6.543689320388349,0.20967620708349172,3.5948808473080316,7.507502206531333,0.056797616115149656,0.8165300856498235,0.7623971488660016,HAP1,indel_ratio
19,0.6295317104817857,3.327449249779347,6.729037952338923,0.7904695754549842,3.4315975286849074,6.974404236540159,0.21199145794182772,3.6910856134157104,7.807590467784642,0.062372675183214106,0.7447689274367034,0.7658240379602315,CHO,indel_ratio
20,0.9883482196587751,3.063548102383054,5.76522506619594,0.8439023380297304,3.174757281553398,5.924095322153574,0.4136858950992414,3.415710503089144,6.978817299205649,0.07439389369378098,0.7787001816678318,0.6714121536274138,iPSC,indel_ratio
21,0.606413418080227,3.2630185348631953,6.541041482789056,0.84070165895706,3.325684024713151,6.649602824360106,0.2179845186448447,3.6345984112974405,7.565754633715799,0.05750850762270112,0.8234179768228843,0.7608663406212546,K562,indel_ratio
22,2.0779660793131467,2.3980582524271843,4.857899382171227,0.3636681326050388,2.53486319505737,4.999117387466902,0.9245870772774021,2.6884377758164164,6.323036187113857,0.14963941663950664,0.7327478097838469,0.6244916490993969,mESC,co_event
