,Top1 events recall,Top2 events recall,Top3 events recall,Top5 events recall,KL Divergence,CosineSimilarity,Kendall_Top3,Kendall_Top5,Kendall_Top10,abs_frameshift_error,Major0.2,Major0.25,Major0.3,Major0.35,Major0.4,OligoID,Rep1_frameshift,Pred_frameshift,Rep1_delratio,Pred_delratio,oligos,Coll_I_CosineSimilarity,Coll_I_Fuzzy_Top1,Coll_I_Major_Top1,Coll_I_Kendall_tau,Coll_I_Major0.2,Coll_I_Major0.25,Coll_I_Major0.3,Coll_I_Major0.35,Coll_I_Major0.4,Coll_I_Top1,Coll_I_Top2,Coll_I_Top3,Coll_I_Top5,Coll_I_Kendall_Top3,Coll_I_Kendall_Top5,Coll_I_Kendall_Top10,Coll_I_abs_error_top1,Coll_I_abs_error_top2,Coll_I_abs_error_top3,Coll_I_abs_error_top5,KLD_IDL,CosineSimilarity_IDL,delratio_r2,Kendall_tau_IDL,Major0.2_IDL,Major0.25_IDL,Major0.3_IDL,Major0.4_IDL,Major0.5_IDL,Top1_IDL,Top2_IDL,Top3_IDL,Top5_IDL,abs_error_top1_IDL,abs_error_top2_IDL,abs_error_top3_IDL,abs_error_top5_IDL,kfold_index,celltype,fix_setting
0,0.0,0.0,2.0,4.0,1.3763874769210815,0.34650282992818404,-0.33333333333333337,0.0,0.4222222222222222,0.08132581645850223,0.0,0.0,0.0,0.0,0.0,['mFABP4'],[0.95009965],[0.8687738305866333],[],[],dict_keys(['mFABP4']),0.3506009820308848,0.0,0.0,0.12773252379209063,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,4.0,-0.33333333333333337,0.0,0.4222222222222222,0.41985608785736056,0.5785545152675183,0.9477019702130023,1.087474248831958,1.1566076278686523,0.3598611933286244,0,0.5326697935081931,0.0,0.0,0.0,0.0,,0.0,0.0,2.0,4.0,0.41985608785736056,0.5785545134048732,0.95129752382573,1.0906083959652173,24,mESC,pretrained
0,1.0,1.0,2.0,3.0,3.901803970336914,0.8635923554785067,0.33333333333333337,0.19999999999999998,0.1797866299901979,0.17006298728320957,1.0,0.0,0.0,0.0,0.0,['mFABP4'],[0.95009965],[0.7800366597619259],[],[],dict_keys(['mFABP4']),0.8486162138840534,1.0,,0.12891678227847028,0.5,0.0,0.0,0.0,0.0,1.0,1.0,2.0,3.0,0.33333333333333337,0.19999999999999998,0.19999999999999998,0.26862603135955265,0.4768525881685332,0.513276997355828,0.5689589446971339,3.7663114070892334,0.8074489410790892,0,0.5078492888806807,0.5,0.0,0.0,0.0,,1.0,1.0,2.0,3.0,0.26862603135955265,0.4768525881685332,0.519773406511948,0.5769913641706139,24,mESC,Lindel
0,0.0,0.0,2.0,4.0,1.023383617401123,0.5343574882730366,-0.33333333333333337,0.0,0.4222222222222222,0.11796912819375116,0.0,0.0,0.0,0.0,0.0,['mFABP4'],[0.95009965],[0.8321305188513843],[],[],dict_keys(['mFABP4']),0.5463453231589461,0.0,,0.1471675688217087,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,4.0,-0.33333333333333337,0.0,0.4666666666666666,0.38804452404164025,0.4945369129738125,0.63986260137605,0.8346911766175062,0.82602459192276,0.549978960778109,0,0.5423885090270019,0.0,0.0,0.0,0.0,,0.0,0.0,2.0,4.0,0.38804452404164025,0.4945369129738125,0.6420233696551171,0.8313154872578534,24,mESC,inDelphi
0,0.0,1.0,3.0,4.0,0.9018769264221191,0.785881823453582,-0.33333333333333337,0.39999999999999997,0.4944132324730442,0.1607914709445064,0.0,0.0,0.0,0.0,0.0,['mFABP4'],[0.95009965],[0.7893081761006291],[],[],dict_keys(['mFABP4']),0.7919927862305284,0.0,,0.14802011089042078,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,4.0,-0.33333333333333337,0.39999999999999997,0.4944132324730442,0.34762752916781725,0.46361089939398853,0.5453108379411127,0.5921400552921952,0.695248544216156,0.7680291090588692,0,0.5990172412130105,0.0,0.0,0.0,0.0,,0.0,1.0,3.0,4.0,0.34762752916781725,0.46361089939398853,0.550512349960643,0.5906987026448088,24,mESC,FORECasT
0,0.0,1.0,1.0,2.0,1.2986180782318115,0.4433571011378126,0.33333333333333337,0.0,0.5060480768510597,0.09931698237933517,,,,,,['mMettl14-sg2'],[0.8363463],[0.9356633106378496],[],[],dict_keys(['mMettl14-sg2']),0.6072474705816283,0.0,0.0,0.18260145108826917,,,,,,0.0,0.0,2.0,3.0,-0.33333333333333337,0.0,0.5520524474738833,0.03472399047640659,0.12244615301135146,0.47237722617696054,0.5466303889069645,0.7615172266960144,0.5995659205349742,0,0.6461821690190958,,,,,,0.0,0.0,1.0,3.0,0.08430683405609166,0.15886122228628896,0.2283460566114336,0.5857410500774138,27,mESC,fewshot
0,1.0,1.0,2.0,4.0,0.7984238266944885,0.8364854564065963,0.33333333333333337,0.39999999999999997,0.6440611887195306,0.002442450334683599,,,,,,['mMettl14-sg2'],[0.8363463],[0.8339038779238308],[],[],dict_keys(['mMettl14-sg2']),0.8383288478639708,1.0,,0.18024754396308226,,,,,,1.0,1.0,1.0,4.0,0.33333333333333337,0.39999999999999997,0.5520524474738833,0.1020691312191119,0.15655338944383035,0.18573201183200078,0.31793121848292094,0.25195953249931335,0.9160486340155232,0,0.698244239508786,,,,,,1.0,1.0,2.0,4.0,0.05939122386038939,0.10215107709443476,0.16731476239564308,0.2549242477670469,27,mESC,pretrained
0,0.0,1.0,2.0,4.0,2.50009822845459,0.8082304816915804,1.0,0.6,0.5520524474738833,0.1572727570086705,,,,,,['mMettl14-sg2'],[0.8363463],[0.6790735712498439],[],[],dict_keys(['mMettl14-sg2']),0.7659645504231467,0.0,,0.15663072477085485,,,,,,0.0,1.0,2.0,3.0,1.0,0.6,0.4140393356054125,0.006919506567366229,0.08308957915647623,0.1883780132082743,0.3070393746474711,2.054840564727783,0.8793167487391826,0,0.5605435063118684,,,,,,1.0,1.0,2.0,3.0,0.005946633501825671,0.059424870274153344,0.11286747818662718,0.2723707998419827,27,mESC,Lindel
0,1.0,1.0,2.0,3.0,0.7969862222671509,0.8249962293384039,0.33333333333333337,0.39999999999999997,0.4600437062282361,0.03557797876718749,,,,,,['mMettl14-sg2'],[0.8363463],[0.8007683494913269],[],[],dict_keys(['mMettl14-sg2']),0.8626029860432858,0.0,,0.1821317121280092,,,,,,0.0,1.0,2.0,3.0,-0.33333333333333337,0.39999999999999997,0.5520524474738833,0.004808613819623109,0.0856107326062634,0.1451898200288611,0.20744209337127512,0.19265256822109222,0.939931878649581,0,0.7207680912514259,,,,,,0.0,1.0,2.0,4.0,0.02735004012391129,0.06853032707157623,0.07528921384887595,0.17534462457847966,27,mESC,inDelphi
0,1.0,1.0,2.0,3.0,1.0413293838500977,0.890014188830008,0.33333333333333337,0.7999999999999999,0.5882760066687646,0.11891337806694358,,,,,,['mMettl14-sg2'],[0.8363463],[0.7174329501915708],[],[],dict_keys(['mMettl14-sg2']),0.9180400929572667,1.0,,0.19875444100595724,,,,,,1.0,1.0,2.0,4.0,0.33333333333333337,0.6,0.7294622482692682,0.04037747053711918,0.11899346812405553,0.14765354968543215,0.24535162144691391,0.5293033123016357,0.9680913460899819,0,0.5060412719783002,,,,,,1.0,1.0,2.0,4.0,0.07526194642849716,0.13663656470508867,0.1876263567185402,0.2753932016706568,27,mESC,FORECasT
0,1.0,1.0,3.0,4.0,0.8108945488929749,0.9160354264324431,0.33333333333333337,0.7999999999999999,0.7333333333333333,0.03801483546607898,0.5,1.0,,,,['mSorl1'],[0.7679232],[0.8059380117546837],[],[],dict_keys(['mSorl1']),0.8995988053777165,1.0,1.0,0.10425194605836861,0.5,1.0,,,,1.0,1.0,3.0,4.0,0.33333333333333337,0.7999999999999999,0.6888888888888888,0.1215507418212265,0.25210486528185316,0.26715605216522287,0.32572194096604273,0.14943675696849823,0.9286770813346402,0,0.6570808432463673,0.5,1.0,,,,1.0,2.0,3.0,4.0,0.12155074554651679,0.22388987046388098,0.23630602517586718,0.2812837967375634,28,mESC,fewshot
